image_path,clip_text,superclass_id,category_id
bicycle_final/251952414262_0.JPG,a product image from category 11319,1,11319
bicycle_final/251952414262_1.JPG,a product image from category 11319,1,11319
bicycle_final/251952414262_2.JPG,a product image from category 11319,1,11319
bicycle_final/251952414262_3.JPG,a product image from category 11319,1,11319
bicycle_final/251952414262_4.JPG,a product image from category 11319,1,11319
bicycle_final/251952414262_5.JPG,a product image from category 11319,1,11319
bicycle_final/251952414262_6.JPG,a product image from category 11319,1,11319
bicycle_final/251965640823_0.JPG,a product image from category 11320,1,11320
bicycle_final/251965640823_1.JPG,a product image from category 11320,1,11320
bicycle_final/251965640823_2.JPG,a product image from category 11320,1,11320
bicycle_final/251965640823_3.JPG,a product image from category 11320,1,11320
bicycle_final/251965640823_4.JPG,a product image from category 11320,1,11320
bicycle_final/251976734761_0.JPG,a product image from category 11321,1,11321
bicycle_final/251976734761_1.JPG,a product image from category 11321,1,11321
bicycle_final/251976734761_2.JPG,a product image from category 11321,1,11321
bicycle_final/251976734761_3.JPG,a product image from category 11321,1,11321
bicycle_final/251976734761_4.JPG,a product image from category 11321,1,11321
bicycle_final/251976765494_0.JPG,a product image from category 11322,1,11322
bicycle_final/251976765494_1.JPG,a product image from category 11322,1,11322
bicycle_final/251976765494_2.JPG,a product image from category 11322,1,11322
bicycle_final/251976765494_3.JPG,a product image from category 11322,1,11322
bicycle_final/251976765494_4.JPG,a product image from category 11322,1,11322
bicycle_final/251980479134_0.JPG,a product image from category 11323,1,11323
bicycle_final/251980479134_1.JPG,a product image from category 11323,1,11323
bicycle_final/251980479134_2.JPG,a product image from category 11323,1,11323
bicycle_final/251980479134_3.JPG,a product image from category 11323,1,11323
bicycle_final/251984972803_0.JPG,a product image from category 11324,1,11324
bicycle_final/251984972803_1.JPG,a product image from category 11324,1,11324
bicycle_final/251984972803_2.JPG,a product image from category 11324,1,11324
bicycle_final/251984972803_3.JPG,a product image from category 11324,1,11324
bicycle_final/251986019965_0.JPG,a product image from category 11325,1,11325
bicycle_final/251986019965_1.JPG,a product image from category 11325,1,11325
